c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
NAT,NR,I551-I553,DE13	9265162 	9447978 	9372929 	9250459 	9580714 	9826213 	9648858 	9819825 	10124183 	10453458 	10637508 	11064151 
NAT,NR,I551-I553,DE14	4951814 	5145843 	4959355 	5099965 	5352898 	5584713 	5482981 	5577446 	5707260 	6036741 	6107820 	6533612 
NAT,NR,I551-I553,DE21	20803210 	21133430 	19993657 	20726960 	21775418 	22577992 	22564245 	22872346 	23532373 	24461469 	25482580 	27115091 
NAT,NR,I551-I553,DE22	9396969 	9396845 	8931579 	8933029 	9187141 	9268180 	9050499 	8915564 	8956572 	9094397 	9198255 	9319517 
NAT,NR,I551-I553,DE23	3949162 	3833280 	3520665 	3571423 	3748671 	3776772 	3779539 	3829589 	3867507 	4132172 	4215771 	4226565 
NAT,NR,I551-I553,DE24	3419945 	3440058 	3166423 	3247983 	3394105 	3541317 	3379795 	3323639 	3439683 	3700991 	3726793 	3802831 
NAT,NR,I551-I553,DE25	4517937 	4672350 	4152223 	4461697 	4658246 	4826175 	4778857 	4906752 	5118812 	5415616 	5539760 	5891338 
NAT,NR,I551-I553,DE26	4096293 	4131322 	3660713 	3772351 	4019237 	4149668 	4170072 	4261761 	4502856 	4555898 	4673540 	4810365 
NAT,NR,I551-I553,DE27	9849512 	10105283 	9631287 	9611805 	10104070 	10428949 	10410024 	10385179 	10766964 	11415662 	11848810 	12367645 
NAT,NR,I551-I553,DE30	10671866 	10725228 	11357946 	12188523 	12998577 	14184463 	15256988 	16063346 	16460049 	16723291 	16977746 	17594221 
NAT,NR,I551-I553,DE40	7825909 	7921584 	7828548 	8161054 	8530132 	8861006 	8896825 	9189401 	9672518 	10005117 	10222421 	10558659 
NAT,NR,I551-I553,DE50	1160918 	1273212 	1248063 	1418875 	1523316 	1514896 	1586669 	1712552 	1771444 	1815004 	1864884 	1979394 
NAT,NR,I551-I553,DE60	5866099 	6115524 	6535007 	7094326 	7488197 	8243203 	8940981 	9072194 	9531016 	10051005 	10341975 	10885592 
NAT,NR,I551-I553,DE71	9499425 	9885638 	9420700 	10094635 	10411867 	10610961 	11012530 	11483359 	11932107 	12101700 	12889706 	13202813 
NAT,NR,I551-I553,DE72	1768284 	1841578 	1705038 	1728068 	1772686 	1797265 	1809108 	1851661 	1901731 	1868858 	1955782 	1986090 
NAT,NR,I551-I553,DE73	5538422 	5484400 	5466525 	5456157 	5657511 	5746525 	5667470 	5715375 	5779058 	5899777 	6130455 	6023889 
NAT,NR,I551-I553,DE80	22555587 	23522591 	24533489 	23819784 	23876288 	23896871 	24005013 	24474373 	25260934 	26105863 	25537298 	26569371 
NAT,NR,I551-I553,DE91	4567625 	4526670 	4584774 	4629591 	4758638 	4854169 	4787346 	4864372 	4989253 	5027467 	5037614 	5276507 
NAT,NR,I551-I553,DE92	3688834 	4118154 	4025611 	4232778 	4476498 	4597142 	4547455 	4548792 	4736332 	4893756 	5019858 	5145821 
NAT,NR,I551-I553,DE93	7569048 	785114
