c_resid,unit,nace_r2,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FOR,NR,I551-I553,ES21	1538206 	1576376 	1470553 	1635223 	1822947 	1926634 	2061381 	2127185 	2388973 	2774750 	2988956 	3149765 
FOR,NR,I551-I553,ES22	422839 	387873 	385988 	364612 	436903 	435014 	449349 	515555 	551983 	618088 	661240 	657791 
FOR,NR,I551-I553,ES23	166280 	161715 	160296 	160066 	166377 	164094 	179550 	200390 	211761 	239267 	234611 	244938 
FOR,NR,I551-I553,ES24	1078661 	1200009 	921929 	1009253 	1093399 	1072186 	1127113 	1244598 	1339685 	1532540 	1633857 	1745886 
FOR,NR,I551-I553,ES30	9090461 	8694921 	8433667 	9948384 	11076365 	10045237 	9655194 	10625500 	11971148 	12789369 	14362642 	14559334 
FOR,NR,I551-I553,ES41	1568942 	1515329 	1368262 	1472018 	1575854 	1460372 	1494584 	1668797 	1819935 	2001693 	2113371 	2167936 
FOR,NR,I551-I553,ES42	627909 	629665 	552235 	581409 	590366 	559179 	563439 	598642 	621833 	674482 	751066 	819770 
FOR,NR,I551-I553,ES43	308465 	304650 	329245 	332914 	364579 	322159 	343980 	349126 	388755 	410833 	445419 	507401 
FOR,NR,I551-I553,ES51	38900433 	39325874 	36681607 	40110277 	44029174 	46203650 	48209637 	48251027 	49326894 	52209012 	54738296 	54434636 
FOR,NR,I551-I553,ES52	17158770 	17349747 	15238732 	15609838 	16581397 	17317710 	18989780 	19677432 	21165178 	24015497 	26023781 	26068944 
FOR,NR,I551-I553,ES53	54392668 	52900943 	48143811 	51266569 	57205975 	58846832 	59659500 	57412649 	59330571 	64165819 	64346335 	64036557 
FOR,NR,I551-I553,ES61	25154895 	25653649 	22221296 	22018831 	24412276 	25545206 	27254619 	29088963 	32002957 	35947059 	38420887 	38122211 
FOR,NR,I551-I553,ES62	1566910 	1545984 	1321079 	1351581 	1382492 	1358802 	1503461 	1674325 	1735712 	1904167 	1925855 	2023687 
FOR,NR,I551-I553,ES63	: 	: 	: 	: 	: 	37740 	41980 	40894 	46038 	51332 	58552 	59306 
FOR,NR,I551-I553,ES64	: 	: 	: 	: 	: 	22749 	24570 	22026 	25312 	32215 	30352 	35117 
FOR,NR,I551-I553,ES70	70652098 	69796074 	60865157 	64738317 	75956666 	75425863 	78104937 	83055786 	83018673 	91274362 	93036158 	88242389 
FOR,NR,I551-I553,FI19	606440 	612803 	534971 	542278 	580445 	568824 	546441 	524249 	507965 	521482 	584653 	569587 
FOR,NR,I551-I553,FI1B	2261482 	2297667 	2047414 	: c	2352287 	2392085 	2331026 	2348372 	2429780 	2534539 	3014529 	3062020 
FOR,NR,I551-I553,FI1C	673971 	705720 	618623 	: c	732745 	810884 	868918 	789803 	604727 	571541 	691171 	649313 
FOR,NR,I551-I553,FI1D	1530394 	1618070 	1438019 	1438828 	1581400 	1784555 	1867798 	1810882 	1728092 	1900237 	2214233 	2335735 
FOR,NR,I551-I553,FI20	255928 	268294 	250979 	234999 	260591 	246611 	246264 	237396 	239786 	243476 	238248 	225934 
FOR,NR,I551-I553,FR10	37931718 	37296532 	33843234 	37899116 	40820093 	41889173 	44731287 	44838409 	43216240 	38267721 u	43035060 u	47432368 u
